Jaccard_Score,label,feat_smatch
0.46153846153846156,1,0.5714285714285713
0.4375,0,0.4838709677419355
0.35714285714285715,1,0.5263157894736842
0.28,0,0.3863636363636363
0.29411764705882354,1,0.2448979591836734
0.875,1,0.5
0.4166666666666667,0,0.6046511627906976
0.17647058823529413,1,0.4324324324324324
0.3333333333333333,0,0.5882352941176471
0.6,1,0.606060606060606
0.3333333333333333,0,0.4
0.17391304347826086,0,0.2962962962962963
0.25,0,0.24
0.17391304347826086,1,0.2711864406779661
0.4827586206896552,1,0.4912280701754385
0.35,0,0.5614035087719299
0.5,0,0.5490196078431373
0.43478260869565216,0,0.7142857142857142
0.43478260869565216,0,0.6133333333333334
0.25,1,0.4137931034482758
0.6,0,0.64
0.46153846153846156,1,0.4883720930232558
0.4827586206896552,1,0.5354330708661418
0.3888888888888889,1,0.5909090909090908
0.3333333333333333,0,0.3428571428571428
0.375,0,0.3023255813953488
0.09090909090909091,1,0.2040816326530612
0.2222222222222222,1,0.32
0.5,1,0.5769230769230769
0.1111111111111111,0,0.3999999999999999
0.43478260869565216,0,0.4415584415584415
0.36363636363636365,1,0.4923076923076923
0.4666666666666667,1,0.5306122448979592
0.058823529411764705,0,0.2162162162162162
0.21428571428571427,1,0.4117647058823529
0.3125,1,0.4545454545454545
0.26666666666666666,0,0.4137931034482758
0.3333333333333333,1,0.4827586206896551
0.8125,1,0.5517241379310344
0.25,1,0.3555555555555555
0.2608695652173913,1,0.3
0.36363636363636365,0,0.4375
0.5,1,0.4363636363636364
0.4375,0,0.5901639344262295
0.47058823529411764,1,0.5517241379310344
0.5238095238095238,1,0.6216216216216216
0.18181818181818182,0,0.3448275862068965
0.15384615384615385,1,0.4651162790697674
0.35294117647058826,1,0.5306122448979592
0.5789473684210527,1,0.5666666666666667
0.3157894736842105,1,0.6333333333333334
0.5555555555555556,1,0.3529411764705882
0.6666666666666666,1,0.8000000000000002
0.3333333333333333,1,0.3103448275862069
0.35714285714285715,0,0.4210526315789474
0.6190476190476191,1,0.4615384615384615
0.25,1,0.4324324324324324
0.5,0,0.6551724137931033
0.21428571428571427,1,0.2857142857142857
0.4166666666666667,1,0.430379746835443
0.43333333333333335,0,0.4893617021276595
0.3076923076923077,0,0.2857142857142857
0.29411764705882354,0,0.3243243243243243
0.5416666666666666,1,0.7407407407407407
0.1875,0,0.1777777777777777
0.375,0,0.3943661971830986
0.2631578947368421,1,0.3461538461538461
0.38461538461538464,1,0.4761904761904761
0.29411764705882354,1,0.25
0.42105263157894735,1,0.5454545454545454
0.39285714285714285,0,0.5
0.4,1,0.5142857142857143
0.5454545454545454,1,0.5405405405405405
0.07142857142857142,1,0.2352941176470588
0.46153846153846156,1,0.6111111111111112
0.7272727272727273,1,0.6896551724137931
0.36,1,0.5937499999999999
0.4,1,0.3333333333333332
0.4482758620689655,1,0.5333333333333333
