feat_jaccard_score,feat_cosine_similarity,feat_smatch,feat_bert_score,label
0.5833333333333334,0.7858828151308903,0.7307692307692307,0.90254265,1
0.5,0.6992965203283783,0.5205479452054795,0.89116204,0
0.5384615384615384,0.6880164377172413,0.41860465116279066,0.8730239,1
0.3888888888888889,0.5509282752324768,0.5825242718446602,0.8386556,0
0.35,0.3520988661216719,0.33962264150943394,0.8431744,1
0.6,0.6292388867848346,0.5217391304347827,0.88102186,1
0.1578947368421052,0.2573685576233862,0.32558139534883723,0.75493723,0
0.2857142857142857,0.408859311595463,0.5,0.84269464,1
0.25,0.3171716517977457,0.5652173913043478,0.7643762,0
0.6666666666666666,0.7751481865945613,0.41025641025641024,0.87394494,1
0.6875,0.7752929220433703,0.3846153846153846,0.88945854,0
0.6363636363636364,0.7575632178655021,0.44067796610169496,0.91129476,0
0.1875,0.2354945098688748,0.3684210526315789,0.73708147,0
0.5,0.6311645979048327,0.2711864406779661,0.90354794,1
0.5714285714285714,0.6272610143966062,0.8571428571428571,0.81670535,1
0.3888888888888889,0.5688898252709276,0.7547169811320754,0.85691106,0
0.5333333333333333,0.7264213924548178,0.4444444444444444,0.76311296,0
0.55,0.5538837450287961,0.7222222222222223,0.88646877,0
0.3333333333333333,0.3900665181214583,0.6075949367088608,0.8178087,0
0.5416666666666666,0.8219230486559734,0.6105263157894737,0.90201646,1
0.7142857142857143,0.7113473473953001,0.5588235294117647,0.910988,0
0.52,0.637425398573664,0.39436619718309857,0.89073855,1
0.5909090909090909,0.8019210441857174,0.5599999999999999,0.87142926,1
0.5833333333333334,0.7140769993940874,0.5454545454545454,0.7843818,1
0.4666666666666667,0.6677831449806118,0.4594594594594595,0.8398128,0
0.3809523809523809,0.4626314917634004,0.35616438356164387,0.8574833,0
0.45,0.5473197578580699,0.45614035087719296,0.91389656,1
0.3846153846153846,0.3296347430386469,0.23529411764705882,0.75671965,1
0.5625,0.6033667251502609,0.6363636363636364,0.8750356,1
0.2631578947368421,0.4384244455197237,0.2631578947368421,0.7951833,0
0.4285714285714285,0.6982238341111247,0.49382716049382713,0.85282654,0
0.3181818181818182,0.5206808136794562,0.6206896551724138,0.8712046,1
0.3333333333333333,0.5740400116835923,0.42105263157894735,0.86238503,1
0.25,0.2875912095963064,0.2777777777777778,0.79931766,0
0.4545454545454545,0.6471548990995486,0.4375,0.86118543,1
0.3333333333333333,0.6370440751166527,0.3333333333333333,0.78155184,1
0.2666666666666666,0.3566327919762903,0.3333333333333333,0.76973206,0
0.5384615384615384,0.682966903740655,0.456140350877193,0.835364,1
0.7142857142857143,0.7892449004744978,0.4,0.8791964,1
0.3076923076923077,0.4384561789095146,0.35555555555555557,0.8058793,1
0.6,0.7374345189370155,0.47311827956989244,0.911664,1
0.4,0.4525214875015635,0.4117647058823529,0.85191363,0
0.8,0.8931045366071726,0.42622950819672134,0.90111184,1
0.2727272727272727,0.3465970311244508,0.6333333333333333,0.8087442,0
0.5,0.6132067034611983,0.4615384615384615,0.86649245,1
0.6111111111111112,0.8115682475000953,0.693069306930693,0.94273376,1
0.5,0.7756744440882402,0.4383561643835616,0.87348115,0
0.4,0.5652087569893707,0.35555555555555557,0.8815657,1
0.5625,0.682316684541952,0.52,0.82377464,1
0.8,0.9296178513478364,0.7878787878787877,0.93371934,1
