,Jaccard_Score,label
0,0.76,0
1,0.2857142857142857,1
2,0.8888888888888888,0
3,0.6363636363636364,1
4,0.45454545454545453,1
5,0.9,1
6,0.9230769230769231,0
7,0.6,1
8,1.0,0
9,0.9333333333333333,0
10,0.8125,0
11,0.6923076923076923,1
12,0.8125,1
13,0.8333333333333334,0
14,0.8947368421052632,0
15,0.8181818181818182,1
16,1.0,0
17,0.7,1
18,0.75,0
19,0.8636363636363636,1
20,0.8,0
21,0.6818181818181818,0
22,0.8333333333333334,1
23,0.7,0
24,0.8571428571428571,1
25,0.9,0
26,1.0,1
27,1.0,1
28,0.9166666666666666,1
29,0.8181818181818182,1
30,0.7777777777777778,1
31,0.6896551724137931,1
32,0.9,0
33,0.6363636363636364,1
34,0.8333333333333334,0
35,0.8181818181818182,0
36,0.7058823529411765,1
37,0.8461538461538461,1
38,1.0,0
39,0.5833333333333334,1
40,0.7058823529411765,0
41,0.8095238095238095,0
42,0.8181818181818182,1
43,0.9047619047619048,1
44,0.875,1
45,0.75,0
46,0.7647058823529411,1
47,1.0,1
48,1.0,0
49,0.75,0
50,0.8421052631578947,1
51,1.0,0
52,0.7857142857142857,1
53,0.7272727272727273,1
54,0.7222222222222222,0
55,0.9130434782608695,1
56,0.7,0
57,1.0,0
58,1.0,0
59,0.9047619047619048,0
60,0.6923076923076923,0
61,0.7333333333333333,0
62,0.9047619047619048,0
63,0.7142857142857143,0
64,0.8181818181818182,1
65,0.8260869565217391,1
66,0.8,0
67,0.7777777777777778,1
68,0.8235294117647058,1
69,1.0,1
70,0.8125,1
71,0.8666666666666667,1
72,1.0,0
73,0.9411764705882353,0
74,0.35294117647058826,0
75,0.8666666666666667,0
76,0.7368421052631579,0
77,0.8,1
78,0.9545454545454546,0
79,0.7619047619047619,0
80,0.8260869565217391,0
81,0.6818181818181818,0
82,0.8,0
83,0.8571428571428571,0
84,0.6190476190476191,1
85,0.8888888888888888,0
86,0.8461538461538461,1
87,1.0,1
88,0.6842105263157895,0
89,1.0,0
90,0.8571428571428571,0
91,0.4,1
92,0.8,1
93,0.7857142857142857,0
94,0.7333333333333333,0
95,0.8823529411764706,1
96,0.5416666666666666,1
97,0.6428571428571429,0
98,0.8333333333333334,0
99,0.9090909090909091,1
100,0.5625,0
101,0.782608695652174,0
102,0.8333333333333334,0
103,0.5294117647058824,0
104,0.7058823529411765,0
105,0.8235294117647058,0
106,0.9090909090909091,0
107,0.8,0
108,0.7,0
109,0.6111111111111112,1
110,0.8235294117647058,0
111,0.8888888888888888,1
112,0.88,0
113,0.9583333333333334,0
114,0.8181818181818182,1
115,0.8095238095238095,0
116,0.7391304347826086,1
117,0.75,0
118,0.7777777777777778,1
119,0.9130434782608695,1
120,0.7916666666666666,0
121,0.5,0
122,0.6923076923076923,1
123,1.0,0
124,0.85,1
125,0.7692307692307693,0
126,0.5714285714285714,0
127,0.8571428571428571,0
128,0.85,1
129,0.9259259259259259,1
130,0.8,0
131,0.8095238095238095,1
132,0.7058823529411765,1
133,0.7777777777777778,0
134,0.9090909090909091,1
135,0.8947368421052632,0
136,0.7619047619047619,1
137,0.9333333333333333,1
138,0.7647058823529411,0
139,1.0,1
140,0.8421052631578947,1
141,0.7083333333333334,0
142,0.5555555555555556,0
143,0.85,0
144,0.8333333333333334,1
145,0.64,0
146,0.9090909090909091,1
147,0.8,1
148,0.8,0
149,0.8181818181818182,0
150,0.8333333333333334,0
151,0.8333333333333334,0
152,1.0,1
153,0.7333333333333333,0
154,0.4666666666666667,0
155,0.7272727272727273,0
156,0.7333333333333333,0
157,0.6,1
158,0.6875,1
159,0.5714285714285714,1
160,0.7692307692307693,0
161,0.7272727272727273,0
162,1.0,1
163,0.7333333333333333,1
164,0.7333333333333333,1
165,0.6842105263157895,0
166,0.5384615384615384,0
167,0.8823529411764706,0
168,0.6153846153846154,1
169,1.0,1
170,0.7058823529411765,1
171,0.8636363636363636,1
172,0.6470588235294118,0
173,1.0,0
174,0.8333333333333334,0
175,0.8333333333333334,1
176,0.75,0
177,1.0,1
178,0.6666666666666666,1
179,0.8666666666666667,0
180,0.5263157894736842,1
181,0.9,0
182,0.8181818181818182,1
183,0.9,0
184,0.8181818181818182,1
185,0.8,1
186,0.9090909090909091,1
187,0.75,0
188,0.6,1
189,0.5555555555555556,1
190,0.7692307692307693,0
191,0.8421052631578947,1
192,0.7222222222222222,0
193,0.5625,1
194,0.8888888888888888,0
195,0.8571428571428571,0
196,0.7692307692307693,0
197,0.8695652173913043,0
198,0.8888888888888888,1
199,0.85,0
200,0.782608695652174,0
201,0.5555555555555556,1
202,1.0,0
203,0.4444444444444444,0
